model_name	seed	aug_strategy	ratio	iteration	train_size	precision	recall	f1
FacebookAI/roberta-base	40	no_augmentation	0.1	1	347	0.22580645161290322	0.25301204819277107	0.23863636363636362
FacebookAI/roberta-base	41	no_augmentation	0.1	1	347	0.2423335826477188	0.3002780352177943	0.26821192052980136
FacebookAI/roberta-base	42	no_augmentation	0.1	1	347	0.3858695652173913	0.3948100092678406	0.39028859367842417
FacebookAI/roberta-base	43	no_augmentation	0.1	1	347	0.35422602089268757	0.3456904541241891	0.349906191369606
FacebookAI/roberta-base	44	no_augmentation	0.1	1	347	0.34052111410601976	0.35125115848007415	0.3458029197080292
FacebookAI/roberta-base	40	reverse_letter_case	0.1	1	474	0.2511078286558346	0.31510658016682114	0.2794903411426223
FacebookAI/roberta-base	41	reverse_letter_case	0.1	1	474	0.3592233009708738	0.37720111214087115	0.3679927667269439
FacebookAI/roberta-base	42	reverse_letter_case	0.1	1	474	0.4562334217506631	0.4782205746061168	0.46696832579185515
FacebookAI/roberta-base	43	reverse_letter_case	0.1	1	474	0.4039115646258503	0.4402224281742354	0.4212860310421286
FacebookAI/roberta-base	44	reverse_letter_case	0.1	1	474	0.44483671668137686	0.46709916589434664	0.45569620253164556
FacebookAI/roberta-base	40	delete_character	0.1	1	474	0.2671875	0.3169601482854495	0.28995337007206445
FacebookAI/roberta-base	41	delete_character	0.1	1	474	0.38272727272727275	0.3901760889712697	0.3864157870582836
FacebookAI/roberta-base	42	delete_character	0.1	1	474	0.44174350377200333	0.48841519925857274	0.4639084507042254
FacebookAI/roberta-base	43	delete_character	0.1	1	474	0.41968430826369546	0.41890639481000924	0.41929499072356213
FacebookAI/roberta-base	44	delete_character	0.1	1	474	0.44675324675324674	0.4782205746061168	0.46195165622202333
FacebookAI/roberta-base	40	swap_characters	0.1	1	447	0.2693498452012384	0.32252085264133457	0.29354702657106707
FacebookAI/roberta-base	41	swap_characters	0.1	1	447	0.3527336860670194	0.3707136237256719	0.36150022593764125
FacebookAI/roberta-base	42	swap_characters	0.1	1	447	0.42736486486486486	0.468952734012975	0.4471939902783915
FacebookAI/roberta-base	43	swap_characters	0.1	1	447	0.40797824116047143	0.4170528266913809	0.41246562786434465
FacebookAI/roberta-base	44	swap_characters	0.1	1	447	0.4334226988382484	0.4494902687673772	0.4413102820746133
FacebookAI/roberta-base	40	substitute_character	0.1	1	472	0.2765636774679729	0.340129749768304	0.3050706566916043
FacebookAI/roberta-base	41	substitute_character	0.1	1	472	0.28755020080321286	0.33178869323447635	0.30808950086058523
FacebookAI/roberta-base	42	substitute_character	0.1	1	472	0.46113074204946997	0.48378127896200185	0.4721845318860244
FacebookAI/roberta-base	43	substitute_character	0.1	1	472	0.4337121212121212	0.42446709916589437	0.42903981264637003
FacebookAI/roberta-base	44	substitute_character	0.1	1	472	0.43517679057116954	0.4448563484708063	0.43996333638863433
FacebookAI/roberta-base	40	all	0.1	1	826	0.42287029930928627	0.5106580166821131	0.4626364399664148
FacebookAI/roberta-base	41	all	0.1	1	826	0.4606011372867587	0.5254865616311399	0.49090909090909096
FacebookAI/roberta-base	42	all	0.1	1	826	0.4654340836012862	0.5366079703429101	0.4984933275936289
FacebookAI/roberta-base	43	all	0.1	1	826	0.4717741935483871	0.5421686746987951	0.5045278137128072
FacebookAI/roberta-base	44	all	0.1	1	826	0.46475409836065573	0.5254865616311399	0.49325793823401476
FacebookAI/roberta-base	40	no_augmentation	0.3	1	1020	0.5197438633938101	0.45134383688600554	0.48313492063492064
FacebookAI/roberta-base	41	no_augmentation	0.3	1	1020	0.5111111111111111	0.468952734012975	0.4891251812469792
FacebookAI/roberta-base	42	no_augmentation	0.3	1	1020	0.5696969696969697	0.5227062094531975	0.5451909134847752
FacebookAI/roberta-base	43	no_augmentation	0.3	1	1020	0.5471311475409836	0.494902687673772	0.5197080291970804
FacebookAI/roberta-base	44	no_augmentation	0.3	1	1020	0.5866957470010905	0.4986098239110287	0.5390781563126251
FacebookAI/roberta-base	40	reverse_letter_case	0.3	1	1386	0.49343339587242024	0.48748841519925856	0.4904428904428904
